"familia","especie","nombre comun","estado de conservacion IUNC","estado de conservacion  Chile","perro listado como amenaza","","","",""
"Camelidae L","Lama guanicoe","Guanaco","LC","VU,LC","SI","","","",""
"","Vicugna vicugna","Vicuña","LC","EN*","N/A","","","",""
"Cervidae","Hippocamelus antisensis","Taruca","VU","EN","SI","","","",""
"","Hippocamelus bisulcus","Huemul","EN","EN","SI","","","",""
"","Pudu puda","Pudú","NT","VU","SI","","","",""
"Canidae","Lycalopex culpaeus","Culpeo","LC","LC,VU","SI","","","",""
"","Lycalopex fulvipes","Zorro chilote","EN","EN","SI","","","",""
"","Lycalopex griseus","Chilla","LC","LC","SI","","","",""
"Felidae","Leopardus colocolo","Gato colocolo","NT","NT","SI","","","",""
"","Leopardus geoffroyi","Gato de Geoffroy","LC","NT","NO","","","",""
"","Leopardus guigna","Güiña","VU","VU,NT","SI","","","",""
"","Leopardus jacobita","Gato andino","EN","EN-R","NO","","","",""
"","Puma concolor","Puma","LC","NT","NO","","","",""
"Mephitidae","Conepatus chinga","Chingue","LC","LC","NO","","","",""
"","Conepatus humboldtii","Chingue patagónico","LC","LC","NO","","","",""
"Mustelidae","Galictis cuja","Quique","LC","LC","NO","","","",""
"","Lontra felina","Chungungo","EN","VU","NO","","","",""
"","Lontra provocax","Huillín","EN","EN","SI","","","",""
"","Lyncodon patagonicus","Huroncito patagónico","LC","R*","N/A","","","",""
"Chlamyphoridae","Chaetophractus vellerosus","Quirquincho de la Puna","LC","VU","SI","","","",""
"","Chaetophractus villosus","Peludo de las pampas","LC","LC","NO","","","",""
"","Zaedyus pichiy","Pichi","EN","NT","SI","","","",""
