ANIMAL INGRESADO,MOTIVO,AÑO
Pudu,Ataque de perro,2017
Pudu,Ataque de perro,2017
Pudu,Otro,2017
Pudu,Otro,2017
Pudu,Otro,2017
Pudu,Otro,2017
Pudu,Otro,2017
Pudu,Otro,2017
Pudu,Otro,2017
Pudu,Otro,2017
Pudu,Otro,2017
Pudu,Otro,2017
Otro,Ataque de perro,2017
Otro,Ataque de perro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Otro,Otro,2017
Pudu,Ataque de perro,2018
Pudu,Ataque de perro,2018
Pudu,Ataque de perro,2018
Pudu,Ataque de perro,2018
Pudu,Ataque de perro,2018
Pudu,Otro,2018
Pudu,Otro,2018
Pudu,Otro,2018
Pudu,Otro,2018
Pudu,Otro,2018
Pudu,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
Otro,Otro,2018
